heart_rate,acc_x,acc_y,acc_z,acceleration_magnitude,sound_level,time_of_day,label
76.08,0.13,-0.095,-0.111,0.196,70.53,9,0
81.94,0.18,0.311,-0.216,0.419,37.3,13,0
99.64,0.94,0.288,0.012,0.983,64.68,9,0
119.92,-0.475,1.504,-0.918,1.825,57.37,9,1
81.02,0.94,-0.011,-0.494,1.062,61.27,11,0
73.59,0.737,0.208,0.227,0.799,37.94,19,0
96.47,-0.225,0.184,0.028,0.292,34.74,3,0
108.74,-0.593,-1.029,-1.555,1.957,59.78,17,1
98.92,0.371,-0.368,-0.205,0.561,23.84,16,0
133.41,-1.995,2.826,-0.948,3.587,101.47,8,2
87.44,0.838,-0.305,0.692,1.128,53.57,22,0
130.0,-0.209,1.079,1.079,1.54,44.64,3,0
61.59,-0.229,-0.553,-0.658,0.89,69.1,7,0
91.77,0.196,0.64,0.294,0.731,59.01,4,0
76.8051485892259,0.33747131975964706,1.573477467547641,0.8823938643534951,1.8353030170489968,35.78982102890927,20,0
75.74,-0.437,0.7,0.369,0.904,27.62,18,0
88.55,-0.686,0.673,0.131,0.969,57.51,4,0
123.07,1.895,1.73,0.029,2.566,65.29,1,1
93.13,0.036,-0.359,0.07,0.368,35.88,21,0
86.46,-0.381,-0.069,1.25,1.308,51.22,22,0
101.8,1.977,-0.801,1.981,2.911,74.15,4,1
66.05,1.178,-0.507,-0.015,1.283,66.51,6,0
158.55,-2.419,-2.457,2.2,4.09,97.12,12,2
86.1,-0.056,0.165,0.048,0.181,57.59,5,0
100.48,-0.583,0.394,-0.11,0.712,27.68,9,0
68.99,0.059,-0.127,-0.632,0.647,66.53,19,0
77.82,0.071,0.111,-1.384,1.391,53.8,8,0
107.06,0.232,-0.482,-0.275,0.601,36.22,22,0
109.76,0.354,-0.05,-0.142,0.385,33.94,19,0
130.0,0.335,-0.087,0.43,0.552,53.52,12,0
153.19,0.379,0.759,-2.383,2.529,90.84,23,2
128.85,1.601,-0.27,1.206,2.023,73.75,17,1
118.49,-1.588,-0.024,-0.646,1.715,56.13,21,1
105.91,-0.506,-0.26,2.176,2.249,67.9,8,1
147.61,2.324,-1.164,-0.417,2.633,92.6,20,2
114.12,-0.817,1.28,-0.03,1.519,34.26,17,0
83.19,0.249,-0.954,-0.223,1.011,49.58,4,0
83.86,0.338,0.5,-1.154,1.302,46.63,11,0
138.82,-0.273,2.491,-2.046,3.235,68.78,4,2
122.61,-1.172,-1.914,0.182,2.252,80.21,21,1
127.53,-1.637,0.925,1.035,2.146,80.09,4,1
116.06,-0.352,-0.291,1.76,1.819,93.31,0,1
81.86,-1.163,0.325,-0.584,1.341,39.88,2,0
94.1,0.115,0.538,0.304,0.628,35.76,19,0
101.24,-0.117,-0.323,-0.595,0.687,32.05,9,0
104.33,-1.876,-0.565,0.593,2.047,64.11,12,1
107.76,-0.165,-0.021,-0.041,0.172,63.14,9,0
122.3,-0.279,0.028,0.353,0.451,25.27,23,0
56.68,-0.152,-0.128,0.07,0.211,28.94,12,0
118.9,-0.32,1.128,1.208,1.683,69.87,2,1
136.35,0.665,-0.181,3.407,3.476,91.12,17,2
84.3,-1.297,0.282,0.702,1.501,59.93,18,0
111.48,0.279,0.195,0.2,0.395,55.82,23,0
96.49,-0.383,0.363,-1.139,1.255,52.31,8,0
68.96,0.391,0.726,0.941,1.251,18.17,19,0
69.08,0.011,0.03,0.04,0.051,37.24,19,0
108.41,1.709,0.145,-0.601,1.817,69.65,6,1
74.22,1.208,0.332,-1.664,2.083,39.89,3,0
108.67,1.777,0.02,-1.886,2.591,91.15,22,1
109.97,0.543,-0.496,0.253,0.777,36.77,22,0
93.83,0.732,-0.778,-0.055,1.07,37.83,7,0
64.96,0.521,-0.978,0.171,1.122,36.36,6,0
104.12,0.305,-0.647,-0.52,0.885,53.19,22,1
61.19,1.203,0.104,-0.757,1.425,58.94,2,0
119.37,0.562,-2.013,0.699,2.204,74.42,21,1
92.99,1.35,-0.256,-0.16,1.383,26.8,16,0
79.15,0.324,0.455,-0.133,0.574,53.22,12,0
91.17,1.258,0.479,0.456,1.421,73.81,23,0
72.12,-2.083,1.071,-0.67,2.436,31.89,10,0
78.15,-0.359,0.195,-0.32,0.519,40.38,9,0
141.77,2.598,0.286,1.683,3.109,95.68,12,2
82.36,0.089,-1.287,-0.28,1.32,35.98,18,0
90.62,0.471,-0.766,0.287,0.944,47.51,4,0
83.97,0.26,-0.013,-0.2,0.328,56.01,18,0
84.97,0.458,0.007,-1.033,1.13,25.47,14,0
66.93,-0.234,-0.17,0.305,0.42,33.57,15,0
125.88,1.253,-0.982,-1.717,2.342,62.35,1,1
137.3,-3.545,0.085,1.76,3.959,109.69,2,2
111.21,0.322,-0.122,0.058,0.349,80.67,8,0
58.15,0.146,0.531,-0.658,0.858,76.69,18,0
98.48,1.072,-1.763,0.363,2.095,44.03,10,0
102.75,0.833,0.506,-1.305,1.628,79.74,9,1
98.71,0.091,0.041,-0.141,0.173,58.85,17,0
105.33,1.552,0.394,-0.366,1.642,78.0,16,1
78.07,0.049,-0.011,0.025,0.056,20.9,22,0
75.28,0.121,1.788,0.827,1.974,27.66,16,0
92.32,0.354,-1.238,-0.139,1.295,65.38,4,1
102.8,-0.583,0.146,-0.835,1.029,57.98,16,0
83.57,-0.055,-0.705,0.129,0.719,57.8,23,0
82.2,0.043,0.085,0.486,0.495,24.35,18,0
90.55,-0.314,-0.062,-0.245,0.402,75.5,15,0
70.94,0.911,0.44,0.209,1.033,21.96,22,0
62.87,0.344,0.87,-1.04,1.398,58.49,2,0
118.14,0.282,-0.094,-0.278,0.407,79.17,9,0
91.53,-0.265,0.298,-0.253,0.472,56.13,22,0
121.79,1.247,-1.452,-1.332,2.331,66.09,14,1
63.87,-0.589,-0.213,-0.869,1.071,18.37,14,0
60.99,-0.58,0.091,-0.811,1.001,28.81,19,0
72.96,0.298,-0.159,-0.059,0.343,73.74,16,0
82.92,-0.126,-0.009,-0.181,0.22,52.9,20,0
129.29,0.699,1.311,0.531,1.578,50.99,0,0
94.82,0.031,0.449,1.174,1.257,40.9,4,0
98.86,0.35,0.268,-0.409,0.601,51.42,0,0
90.3,0.309,0.964,0.547,1.15,53.64,20,0
130.34,-0.907,-0.985,2.109,2.498,78.53,7,1
106.03,0.129,-0.018,-0.224,0.259,27.86,15,0
82.73,-0.081,0.035,0.039,0.096,48.17,6,0
65.36,0.024,0.026,-0.032,0.047,47.62,0,0
156.45,-1.102,-2.378,-0.447,2.659,89.63,6,2
113.16,-0.407,-0.645,-1.242,1.457,65.61,13,1
122.87,-0.868,-1.9,1.398,2.514,87.18,7,1
94.6,0.681,-0.688,0.266,1.004,52.22,22,0
73.48,-0.231,0.185,-0.217,0.367,28.11,17,0
165.91,-0.122,0.243,-2.755,2.768,97.55,17,2
125.17,-1.812,-0.294,1.195,2.19,63.18,2,1
67.47,-0.639,-0.487,1.268,1.501,33.9,23,0
94.2,0.617,-0.168,-0.402,0.756,28.41,19,0
73.69,0.038,0.11,0.081,0.141,84.25,21,0
79.15,-0.146,-0.046,-0.214,0.263,55.62,0,0
115.86,1.347,-1.696,1.209,2.481,65.59,13,1
85.1,0.349,0.507,-0.353,0.71,25.75,8,0
79.31,0.789,0.124,-0.206,0.825,34.07,12,0
126.69,-0.731,1.246,-0.237,1.464,61.08,19,1
72.14,1.182,-0.128,0.366,1.244,44.7,16,0
91.98,-1.364,0.105,-0.108,1.372,20.33,2,0
65.01,-0.679,-0.462,-0.466,0.944,62.97,21,0
100.98,0.564,0.655,-0.803,1.18,56.07,1,0
109.51,-1.039,-1.312,0.149,1.68,94.82,12,1
69.78,0.754,0.073,0.387,0.85,50.24,12,0
125.27,1.64,1.03,-1.414,2.398,80.43,16,1
57.24,-0.096,-0.052,-0.042,0.117,27.76,4,0
61.36,0.089,2.079,0.122,2.084,33.76,6,0
111.96,-0.807,-0.321,-1.345,1.601,66.79,15,1
57.53,0.567,-0.026,0.375,0.68,32.68,7,0
82.7,-1.267,-0.442,-0.824,1.575,57.46,10,0
98.47,0.495,-0.443,-1.39,1.541,53.86,21,0
31.54504026195238,1.247,1.677,0.571,2.166420780919533,77.19,13,1
85.85,-0.45,0.593,-0.594,0.953,32.5,9,0
68.99,-0.546,1.655,-0.029,1.743,56.39,6,0
94.94,0.181,0.631,0.669,0.938,50.51,11,0
75.88,0.108,-0.506,-0.008,0.517,45.61,21,0
81.34,-0.827,1.2,0.748,1.638,34.34,6,0
96.55,-1.718,0.869,-0.074,1.926,48.0,8,0
129.15,0.619,1.676,-0.001,1.787,89.42,2,1
77.98,-0.21,0.615,-0.267,0.703,39.44,17,0
80.36,0.644,0.913,0.186,1.133,52.28,5,0
136.52,-2.109,-0.336,-1.013,2.364,102.43,9,2
89.81,-0.649,-0.956,-0.246,1.181,36.97,3,0
110.71,-0.401,1.527,-1.153,1.955,79.02,17,1
83.84,0.214,0.556,-0.433,0.736,82.39,17,0
126.54,-0.494,-0.533,-1.327,1.513,74.91,17,1
85.66,0.352,-0.411,1.303,1.411,46.5,19,0
68.11,0.3,-0.517,-0.279,0.66,38.09,8,0
102.02,-0.044,-1.681,-0.077,1.683,73.67,15,1
103.91,1.855,-0.003,-0.526,1.928,66.39,23,1
153.36,-2.15,1.451,-2.746,3.777,108.59,14,2
80.48,0.814,-0.739,-0.666,1.286,25.07,5,0
107.21,-1.576,0.853,1.573,2.385,64.84,20,1
90.82,-1.04,0.105,1.335,1.696,51.9,11,0
98.45,-0.724,-0.943,-0.485,1.283,31.3,12,0
117.67,-1.051,-0.683,-1.197,1.733,72.83,23,1
90.08,1.022,1.069,-0.354,1.52,51.68,12,0
99.62,1.313,0.688,-0.853,1.71,80.9,6,1
67.95,0.538,0.225,-0.749,0.949,17.88,10,0
114.16,-0.985,-0.229,-2.086,2.318,61.71,5,1
60.87,-0.427,-0.084,1.24,1.314,38.33,13,0
144.26,-2.061,-0.801,-1.275,2.553,106.36,14,2
56.84328852662429,-1.3388919172286209,-0.38334604607752876,-0.39826200502304,1.4485159238711802,52.142902323151574,17,0
85.12,1.171,-1.534,1.648,2.538,82.98,17,1
107.26,0.438,0.344,1.604,1.698,84.24,0,1
59.96,-0.449,0.592,-0.846,1.126,56.48,14,0
78.94,-0.34,0.234,-0.073,0.419,32.67,0,0
96.47,-0.224,-0.135,1.021,1.054,46.16,12,0
113.62,0.169,0.998,1.045,1.455,77.05,5,0
73.13,1.43,-0.385,-0.469,1.553,50.03,11,0
87.26,0.246,-0.009,0.922,0.954,74.09,23,0
79.21,0.65,-0.892,0.837,1.385,43.53,5,0
100.78,-0.034,0.178,-0.01,0.182,21.56,18,0
84.53,1.057,1.88,1.201,2.469,24.73,2,0
93.69,0.5,-0.356,-0.25,0.663,46.49,9,0
114.87,-0.437,-0.187,-0.027,0.476,43.79,6,0
117.88,1.42,-1.011,-1.18,2.105,78.36,9,1
87.91,-0.721,1.216,0.643,1.553,81.41,3,1
63.45,-0.305,-0.297,-0.237,0.488,61.45,12,0
65.47,0.066,-0.057,-0.082,0.12,42.91,0,0
97.43,-0.646,0.631,0.369,0.975,49.05,10,0
91.0,-0.015,-0.23,-0.339,0.41,59.17,3,0
127.31,1.206,0.136,0.354,1.264,33.6,18,0
90.83,-0.356,0.607,0.942,1.176,54.49,7,0
96.86,-0.058,-1.161,-0.141,1.171,26.6,15,0
83.81,-0.121,-0.7,0.193,0.737,20.87,16,0
111.91,0.351,-1.292,-1.011,1.678,64.0,15,0
110.24,-1.262,0.765,0.988,1.776,65.77,20,1
72.48,-0.055,0.139,0.113,0.187,57.64,7,0
148.96,0.526,1.373,2.872,3.226,105.65,5,2
87.28,0.347,-0.844,-0.735,1.172,34.72,12,0
63.94,0.97,0.092,0.815,1.27,49.71,18,0
108.76,-0.092,-1.945,0.697,2.068,84.27,10,1
88.77,-0.556,0.685,0.774,1.173,23.11,7,0
146.11,-0.509,1.975,-1.638,2.616,85.59,21,2
83.11,0.032,-0.754,-0.122,0.765,43.01,12,0
96.77,-0.658,1.823,-1.018,2.189,50.55,4,0
67.47,0.284,0.829,0.775,1.17,22.46,11,0
99.5,0.52,-0.5,-1.429,1.6,77.48,13,1
130.19,1.582,2.01,0.296,2.575,93.61,17,2
84.23,0.473,0.278,0.358,0.656,17.07,17,0
76.14,-0.591,0.405,-1.348,1.527,47.14,10,0
91.43,0.714,0.086,-0.183,0.742,53.79,2,0
121.92,-0.098,-1.393,0.716,1.569,65.38,0,1
91.16,-0.225,0.203,0.118,0.325,35.57,22,0
82.34,0.172,0.059,-0.085,0.2,45.74,0,0
72.96,-0.351,-0.54,0.178,0.668,25.63,17,0
93.95,-0.045,1.24,0.268,1.27,31.83,12,0
130.33,-3.016,-0.85,-1.779,3.603,93.92,10,2
153.91,1.328,1.265,2.516,3.114,85.47,14,2
123.25,1.618,1.451,0.981,2.384,57.5,22,1
73.9,-0.179,1.107,0.631,1.287,56.37,15,0
97.87,-0.643,-0.884,-0.611,1.253,31.44,22,0
87.06,-0.32,0.157,1.677,1.715,84.82,8,1
76.09,1.189,-0.048,-0.322,1.232,37.3,4,0
99.06,-0.346,-1.043,-2.042,2.319,78.08,3,1
77.13,0.386,-0.107,1.117,1.187,37.34,8,0
115.27,0.409,0.217,-0.836,0.956,80.7,0,1
106.44,0.454,-0.951,-0.112,1.059,29.25,13,0
110.73,0.287,-1.561,1.074,1.917,81.61,5,1
120.38,0.051,-0.409,2.596,2.628,93.34,3,2
111.57,-0.127,2.104,-1.671,2.69,97.48,2,2
84.03,-0.291,0.234,0.039,0.376,25.3,0,0
64.16,-0.039,0.008,-0.076,0.086,55.22,21,0
124.68,0.474,-1.249,0.428,1.403,35.1,22,0
72.96,0.012,-0.002,0.057,0.058,30.46,22,0
99.69,-0.234,-0.117,1.55,1.572,34.41,3,0
87.09,0.18,-0.046,-1.057,1.073,38.26,19,0
104.83,2.395,-0.142,-0.383,2.429,77.44,19,1
107.91,1.62,-0.926,-0.579,1.954,57.18,4,1
90.27,0.101,-0.731,0.089,0.743,31.18,6,0
121.79,-1.554,0.462,-0.519,1.703,68.03,8,1
90.35,0.041,0.037,0.06,0.081,44.3,7,0
100.27,-0.581,-0.273,-1.55,1.678,48.16,12,1
119.81,0.534,-0.146,0.317,0.638,25.96,19,0
61.46,-0.018,-0.607,0.738,0.956,37.5,3,0
128.62,1.034,-2.041,0.501,2.342,74.29,14,1
102.95,-2.193,-0.631,-0.522,2.341,68.43,22,1
67.57,-0.007,-0.213,-0.576,0.614,52.69,22,0
90.77,0.054,-0.423,0.371,0.565,58.33,22,0
88.41,-0.251,-0.245,-0.877,0.945,42.16,17,0
94.67,-0.384,-0.008,0.492,0.6241666444147749,128.02426181218627,6,0
81.71,-0.003,0.004,-0.065,0.065,69.58,21,0
126.33,1.092,-1.106,-0.385,1.601,79.75,4,1
105.9,-0.165,-0.229,-0.433,0.517,62.08,19,0
65.44,-0.077,-0.041,0.013,0.088,47.94,17,0
91.16,0.356,0.603,0.078,0.705,30.8,22,0
133.53,-1.626,-2.316,-0.048,2.831,89.46,18,2
129.71,1.598,2.002,-0.558,2.622,64.08,14,1
111.13,-1.446,-0.312,-0.979,1.774,80.85,9,1
73.66,0.619,0.699,-0.316,0.985,27.21,2,0
111.51,-0.591,-0.85,0.058,1.037,73.9,23,0
85.79,-0.038,-0.319,0.27,0.42,36.49,6,0
74.99,0.517,1.12,0.703,1.42,55.47,22,0
105.28,-0.075,0.843,0.885,1.225,43.48,3,0
139.35,-1.44,1.256,-0.131,1.915,69.01,12,1
92.89,0.079,-0.089,-0.525,0.539,71.75,13,0
119.47,1.534,-1.419,-1.105,2.364,64.66,5,1
94.0,0.115,0.557,-0.563,0.8,47.56,19,0
77.39,-0.203,-0.041,-1.301,1.318,29.41,22,0
105.7,0.19,-1.028,1.529,1.852,66.37,16,1
94.52,-1.428,-0.325,-0.297,1.494,53.65,8,0
98.27,0.302,0.011,1.003,1.048,39.56,0,0
92.15,-1.354,-0.912,-1.1,1.968,36.04,12,0
115.85,-1.665,1.053,-0.675,2.083,65.07,18,1
89.12,-0.831,1.359,-1.358,2.093,63.56,4,1
89.82,-0.378,-0.289,-0.536,0.717,31.0,17,0
74.27,1.068,0.652,-0.303,1.288,45.51,11,0
65.24,0.521,0.786,-0.361,1.01,63.61,14,0
91.49,0.183,0.208,0.242,0.368,27.73,14,0
108.75,-1.019,-0.538,0.063,1.154,28.98,4,0
106.84,0.59,1.154,1.256,1.805,63.1,19,1
71.85,-0.33,0.723,-0.787,1.119,36.51,16,0
73.97,-0.306,-0.67,-0.912,1.173,60.94,9,0
107.41,1.031,1.575,1.758,2.576,80.37,7,1
74.23,0.829,0.68,-0.087,1.076,25.25,6,0
63.41,-0.335,1.035,0.153,1.098,55.75,22,0
98.16,-0.441,0.808,0.264,0.958,51.88,7,0
103.92,0.899,-1.551,1.086,2.096,72.27,21,1
69.49,0.585,-0.02,-0.514,0.779,39.31,2,0
126.92,-1.843,1.523,0.902,2.5553438124839483,108.2777173256555,23,1
137.14,-1.921,-0.539,-0.095,1.998,72.99,17,1
95.92,-0.071,0.01,0.024,0.075,41.08,18,0
82.76,1.394,0.717,0.225,1.584,61.24,16,0
115.63,-0.268,1.427,0.816,1.666,76.78,16,1
91.74,0.097,0.476,0.092,0.494,35.27,19,0
72.09,-0.275,0.265,-0.489,0.62,40.68,14,0
117.76,0.117,-1.35,-1.704,2.177,62.27,10,1
62.79,0.645,0.531,-0.183,0.855,46.77,20,0
66.51,0.316,-0.238,0.112,0.411,59.08,23,0
69.87,0.089,0.541,0.912,1.064,46.14,8,0
104.52,-0.494,0.651,1.764,1.944,63.79,19,1
97.02,-0.861,0.903,0.455,1.328,46.81,18,0
73.72,-0.409,-0.725,0.095,0.838,30.15,17,0
98.22,-0.436,0.406,-0.602,0.847,35.99,10,0
116.32,-0.841,-1.422,-0.479,1.72,70.54,21,1
106.29,0.56,-0.767,1.219,1.545,31.86,16,0
87.91,0.217,0.629,-0.352,0.753,54.36,13,0
79.73,0.068,0.464,-1.017,1.12,50.02,12,0
124.13,0.057,-0.03,-0.1,0.119,26.3,23,0
108.02,0.062,-1.091,0.011,1.093,66.65,5,1
67.71,-0.24,0.128,0.249,0.369,16.06,12,0
97.0,-0.357,1.263,1.54,2.023,88.1,15,1
108.93,-0.631,1.267,-0.21,1.431,67.28,0,1
146.98082360929916,3.2728496408990506,0.6106659703854839,0.513037937656101,3.36862963603812,61.321959370853385,12,2
84.53,-0.41,1.213,0.742,1.479,27.46,5,0
77.82,-0.184,0.413,-1.361,1.434,30.69,22,0
119.14,1.059,-0.65,2.038,2.387,62.37,8,0
122.97,1.537,-0.178,0.559,1.645,60.18,18,1
100.53,0.012,-0.093,0.037,0.101,56.79,7,0
127.76,1.464,-0.519,-0.44,1.615,31.99,2,0
93.35,1.828,0.572,-0.369,1.951,44.82,6,0
126.26,-1.13,-1.328,1.072,2.047,71.18,11,1
100.23,-0.203,-0.219,1.001,1.045,82.53,12,1
95.6,0.449,0.358,0.101,0.583,64.0,5,0
80.61,1.342,-0.78,0.478,1.625,61.77,1,0
109.66,-0.126,-0.047,0.188,0.231,24.8,22,0
79.74,0.664,0.129,0.514,0.85,43.53,19,0
62.69,-0.345,-0.273,0.157,0.467,42.17,19,0
95.57,-0.004,0.104,-0.065,0.123,25.1,21,0
65.72,-0.409,0.644,0.059,0.765,27.52,17,0
65.19,-0.034,0.098,0.087,0.135,31.5,14,0
80.74,-2.134,0.483,0.557,2.257,24.97,15,0
153.49,0.472,1.889,0.459,2.0,78.83,5,1
61.46,-0.009,0.011,-0.045,0.047,46.47,14,0
88.28,1.216,-0.144,0.081,1.227,37.83,8,0
89.38,0.444,0.39,0.625,0.86,24.1,20,0
71.97,1.581,0.097,0.789,1.77,55.22,13,0
102.59,-0.056,0.516,1.555,1.639,60.27,6,1
69.59,-0.457,-1.38,-0.821,1.67,31.88,0,0
72.51,-1.224,0.716,0.201,1.432,59.1,16,0
68.76,0.786,0.111,0.786,1.117,35.33,2,0
76.98,-1.02,1.033,0.078,1.454,54.46,10,0
78.64,0.539,0.591,1.474,1.677,56.9,19,0
95.46,0.256,0.592,1.11,1.283,35.2,5,0
94.0,0.094,-0.042,0.012,0.104,29.04,7,0
75.64,0.487,0.52,-1.27,1.456,49.02,21,0
103.23,1.132,0.203,-0.553,1.276,51.31,15,0
115.92,-1.34,-0.658,0.379,1.54,71.91,16,1
121.25,-0.013,-0.405,-1.674,1.723,64.66,20,1
100.85,-1.057,-1.6,0.024,1.918,61.98,15,1
98.31,0.743,-0.161,-0.93,1.201,38.89,22,0
118.64,0.429,-0.491,0.088,0.658,54.02,18,0
90.52,0.027,-0.029,-0.056,0.069,78.04,18,0
112.2,0.605,1.486,0.071,1.606,76.83,10,1
85.3,-0.015,0.276,-0.251,0.374,29.88,10,0
92.54,0.248,0.945,-0.076,0.98,45.96,19,0
132.33,0.833,-0.979,1.194,1.754,67.72,23,1
125.17,-0.15,-0.1,-0.206,0.274,54.46,18,0
98.23,-0.917,-0.654,0.547,1.252,65.76,23,0
122.78,-1.402,0.749,-0.367,1.632,74.22,5,1
151.77,-1.675,-0.208,1.529,2.278,103.64,15,2
126.08,2.054,-1.727,0.688,2.77,66.55,2,1
43.11471547936211,-0.04,0.006,-0.08,0.08964373932405988,46.29,20,0
69.66,-0.046,-0.516,-0.138,0.536,67.18,8,0
113.81,-0.636,-0.792,1.317,1.663,65.09,0,1
121.7,1.146,-1.029,0.079,1.542,80.06,21,1
106.97,-0.035,-0.074,0.062,0.103,57.71,15,0
79.33,0.588,-0.873,0.76,1.298,53.6,12,0
84.38,-0.043,0.367,0.056,0.374,40.14,18,0
115.16,-0.773,-1.018,-2.435,2.75,100.51,17,1
157.75,2.507,-0.038,1.351,2.848,76.65,6,2
105.2,1.396,1.371,-1.067,2.228,81.26,11,1
109.02,2.179,-0.788,0.329,2.34,81.39,13,1
65.79,0.207,0.152,-0.024,0.258,35.86,15,0
136.55,-0.699,2.143,2.777,3.577,90.34,9,2
163.3,-0.396,2.7728803900782544,0.591,2.8626845194118986,104.16,2,2
94.99,-0.32,-0.286,-1.517,1.577,44.6,5,0
66.43,-1.196,-0.285,-0.436,1.305,44.11,13,0
61.24,0.336,-1.328,0.471,1.449,35.03,4,0
93.13,0.943,-0.29,-0.953,1.372,37.99,10,0
102.69,-0.626,2.025,1.074,2.376,78.99,15,1
110.97,0.41,1.134,0.291,1.24,34.02,18,0
89.75,0.134,-0.131,0.226,0.293,58.64,10,0
99.04,0.194,-0.532,0.085,0.572,73.84,4,0
110.61,-0.347,-0.21,0.316,0.514,37.9,13,0
96.56,0.242,-0.293,-0.241,0.45,34.35,12,0
101.56,1.244,0.698,-1.025,1.757,41.21,14,0
76.48,0.243,0.209,0.02,0.322,41.98,7,0
138.83,-0.824,3.326,-1.751,3.848,82.5,11,2
71.79,-0.755,0.646,-1.814,2.068,51.73,15,0
77.47,0.599,0.151,-0.274,0.676,43.85,18,0
94.61,-0.67,0.198,-1.011,1.229,55.16,11,0
91.81,-1.296,1.375,0.064,1.891,44.49,12,0
68.6,0.028,-0.112,-0.039,0.122,23.88,23,0
98.13,0.923,-1.956,-0.75,2.289,62.65,8,0
69.32,0.264,-0.013,-0.584,0.641,66.5,8,0
77.38,0.699,0.668,-0.752,1.225,44.51,15,0
145.89,2.428,-1.466,-0.955,2.993,88.55,17,2
113.12,-1.585,-0.649,0.141,1.719,34.45,8,0
103.7,-2.23,0.139,0.695,2.339,78.22,1,1
94.52,0.759,0.459,0.757,1.166,18.42,18,0
72.39,0.636,0.399,0.843,1.129,25.96,21,0
58.18,-0.527,-0.2,1.54,1.64,25.54,12,0
104.16,1.048,1.999,0.49,2.31,65.77,9,1
66.15,-0.735,1.24,-0.894,1.696,46.98,19,0
68.28,-0.764,-0.712,0.543,1.177,16.0,8,0
66.08,0.148,0.183,0.131,0.269,36.67,17,0
128.08,-1.298,0.336,-1.023,1.687,63.72,19,1
62.28,-0.258,-0.014,0.343,0.429,69.09,23,0
105.53,-0.67,2.195,0.771,2.421,77.63,22,1
120.41,0.097,-1.095,-1.201,1.628,86.54,11,1
116.47,0.365,0.948,-1.24,1.602,75.35,12,1
125.51,-1.496,1.374,0.907,2.225,86.88,18,1
